name,time,value
humidity,1657991686342571097,52
humidity,1657991695597214415,52
humidity,1657991704866226062,52
humidity,1657991714115669340,52
humidity,1657991723373146112,52
humidity,1657991732635328422,52
humidity,1657991741895460716,52
humidity,1657991751173215987,52
humidity,1657991760423456046,52
humidity,1657991769697366862,52
humidity,1657991778973032972,52
humidity,1657991788232745156,52
humidity,1657991797481453528,52
humidity,1657991806738635867,52
humidity,1657991815996033570,52
humidity,1657991825262392659,53
humidity,1657991834537864534,52
humidity,1657991843809899133,52
humidity,1657991853087988357,52
humidity,1657991862350098735,52
humidity,1657991871611163270,52
humidity,1657991880890048360,52
humidity,1657991890160980270,52
humidity,1657991899413818305,52
humidity,1657991908677095294,52
humidity,1657991917950085611,52
humidity,1657991927198283897,52
humidity,1657991936455656383,52
humidity,1657991945707461154,52
humidity,1657991954976359592,53
humidity,1657991964242969089,52
humidity,1657991973501842811,52
humidity,1657991982776554190,52
humidity,1657991992043376422,52
humidity,1657992001315439669,52
humidity,1657992010579862914,52
humidity,1657992019902856800,52
humidity,1657992029120675877,52
humidity,1657992038378044613,52
humidity,1657992047649100092,53
humidity,1657992056924394548,52
humidity,1657992066180900793,52
humidity,1657992075432148287,52
humidity,1657992084685074223,53
humidity,1657992093942065313,52
humidity,1657992103210473161,53
humidity,1657992112467167421,52
humidity,1657992121730154724,52
humidity,1657992130987396237,52
humidity,1657992140253598598,52
humidity,1657992149518266550,52
humidity,1657992158797347082,52
humidity,1657992168067359826,52
humidity,1657992177327415888,52
humidity,1657992186591409606,52
humidity,1657992195860542485,52
humidity,1657992205118946358,52
humidity,1657992214400549917,53
humidity,1657992223658035834,52
humidity,1657992232922840014,52
humidity,1657992242191713973,52
humidity,1657992251463736497,52
humidity,1657992260728628669,52
humidity,1657992269993741431,52
humidity,1657992279251553957,52
humidity,1657992288529420861,52
humidity,1657992297794561814,52
humidity,1657992307055698270,52
humidity,1657992316307867344,52
humidity,1657992325568469502,52
humidity,1657992334839655164,53
humidity,1657992344113213115,52
humidity,1657992353369088944,52
humidity,1657992362628265120,53
humidity,1657992371901259643,52
humidity,1657992381163018133,52
humidity,1657992390432432064,52
humidity,1657992399667776448,52
humidity,1657992408928800692,52
humidity,1657992418203375433,52
humidity,1657992427458841005,52
humidity,1657992436730447847,53
humidity,1657992445996720438,52
